"reference","country","study.length","habitat","species","overall.metric","sample.size","analysis2","success","AE.level","reserve.desig","mowing","grazing","fertpest","nest.protect","predator.control","water"
1,"United Kingdom",9,"pastoral","lapwing","occupancy","large","multivariate",1,"basic","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","occupancy","large","multivariate",1,"higher","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","occupancy","large","multivariate",1,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","occupancy","large","multivariate",0,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","occupancy","large","multivariate",1,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","occupancy","large","multivariate",1,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","occupancy","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","occupancy","large","multivariate",0,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","occupancy","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","occupancy","large","multivariate",0,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","occupancy","large","multivariate",0,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","occupancy","large","multivariate",1,"basic","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","occupancy","large","multivariate",1,"higher","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","occupancy","large","multivariate",1,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","occupancy","large","multivariate",1,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","occupancy","large","multivariate",1,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","occupancy","large","multivariate",1,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","occupancy","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","occupancy","large","multivariate",0,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","occupancy","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","occupancy","large","multivariate",0,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","occupancy","large","multivariate",0,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","occupancy","large","multivariate",0,"basic","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","occupancy","large","multivariate",1,"higher","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","occupancy","large","multivariate",1,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","occupancy","large","multivariate",1,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","occupancy","large","multivariate",1,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","occupancy","large","multivariate",1,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","occupancy","large","multivariate",1,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","occupancy","large","multivariate",1,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","occupancy","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","occupancy","large","multivariate",0,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","occupancy","large","multivariate",1,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","curlew","occupancy","large","multivariate",0,"basic","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","curlew","occupancy","large","multivariate",1,"higher","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","curlew","occupancy","large","multivariate",0,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","curlew","occupancy","large","multivariate",0,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","curlew","occupancy","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","curlew","occupancy","large","multivariate",0,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","curlew","occupancy","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","curlew","occupancy","large","multivariate",0,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","curlew","occupancy","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
