record number,reference number,literature type,reference,one sentence summary,score,country,region1,region2,site,habitat,habitat1,habitat2,habitat3,habitat4,lon (decimal degrees),lat (decimal degrees),start year,end year,number of sites / study plots,site description,site detail,number of subsites,subsite detail,type of study,species,assemblage,agri-environment,basic agri-environment,targeted agri-environment (wader-specific or higher level),site protection - nature reserve,site protection - designation,mowing,grazing,fertilizer,herbicides / pesticides,nest protection - agricultural activities,nest protection - predation (enclosures or exclosures),ground water management (drainage inhibited),wet features / surface water management,openness of landscape,predator control,other mgmt,other management type (provide description),management notes,overall metric,standardized metric,standardisation calculation,specific metric,specific metric details,reference metric before management,metric after management,log(effect size),effect size (where reported),stand. reference metric before management,stand. metric after management,stand. effect size,unit of analysis,unit of analysis detail,sample size,analysis type 1,analysis type 2,analysis type details,significant effect (Y/N /U),direction of effect (positive / negative / none),values obtained from plot?,values in plots not extracted,related records,comments
1,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,lapwing,Y,applied site scale,applied site scale,,,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.076,0.119,0.071997612,0.57,0.076,0.119,0.57,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
2,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,lapwing,Y,applied site scale,,applied site scale,,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.076,0.123,0.078438858,0.62,0.076,0.123,0.62,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
3,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,lapwing,Y,,,,applied site scale,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.061,0.172,0.180537435,1.82,0.061,0.172,1.82,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
4,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,lapwing,Y,,,,,applied site scale,,,,,,,,,,,,,,occupancy,,,presence/absence,presence/absence in fields in 2009-2010,,,,,,,,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,N,,,,,
5,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,lapwing,Y,applied site scale,applied site scale,,applied site scale,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.061,0.209,,2.43,0.061,0.209,2.43,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
6,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,lapwing,Y,applied site scale,,applied site scale,applied site scale,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.061,0.243,,2.98,0.061,0.243,2.98,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
7,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,lapwing,Y,applied site scale,applied site scale,,,applied site scale,,,,,,,,,,,,,,occupancy,,,presence/absence,presence/absence in fields in 2009-2010,,,,,,,,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,N,,,,,
8,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,lapwing,Y,applied site scale,,applied site scale,,applied site scale,,,,,,,,,,,,,,occupancy,,,presence/absence,presence/absence in fields in 2009-2010,,,,,,,,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,N,,,,,
9,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,lapwing,Y,applied site scale,applied site scale,,applied site scale,applied site scale,,,,,,,,,,,,,,occupancy,,,presence/absence,presence/absence in fields in 2009-2010,,,,,,,,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,N,,,,,
10,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,lapwing,Y,applied site scale,,applied site scale,applied site scale,applied site scale,,,,,,,,,,,,,,occupancy,,,presence/absence,presence/absence in fields in 2009-2010,,,,,,,,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,N,,,,,
