"Management intervention","Parameter level","Estimate","SE","p-value"
"AE","(Intercept)","-0.5731","0.35","0.10180"
"AE","biased.metricY","-0.5030","0.38","0.18398"
"AE.level","(Intercept)","-1.0947","0.38","0.00351"
"AE.level","AE.levelhigher"," 1.2428","0.36","0.00056"
"AE.level","biased.metricY","-0.5696","0.36","0.11676"
"reserve.desig","(Intercept)"," 0.3212","0.34","0.34475"
"reserve.desig","biased.metricY","-0.9293","0.44","0.03554"
"mowing","(Intercept)","-1.1310","0.81","0.16488"
"mowing","mowingreduced"," 0.4809","0.93","0.60408"
"mowing","biased.metricY","-1.1722","0.68","0.08595"
"grazing","(Intercept)","-0.8935","0.50","0.07438"
"grazing","grazingreduced","-0.2302","0.68","0.73499"
"grazing","biased.metricY","-0.0086","0.63","0.98903"
"fertpest","(Intercept)","-5.9112","5.33","0.26699"
"fertpest","fertpestreduced"," 6.4799","7.29","0.37386"
"fertpest","biased.metricY"," 1.8531","2.17","0.39360"
"nest.protect","(Intercept)","-0.3930","0.25","0.11456"
"nest.protect","biased.metricY","-1.4528","0.67","0.02997"
"water","(Intercept)","-0.4799","0.73","0.51132"
"water","waterreduced","-1.6555","1.24","0.18114"
"water","biased.metricY"," 0.3343","0.77","0.66424"
