"mgmtvar","mgmt.type","species","pred","lwr","upr"
"AE applied",1,"black-tailed godwit",0.399419370636522,0.214256874981048,0.618617493396948
"AE applied",1,"curlew",0.129897794854108,0.0381216462415587,0.359941112864346
"AE applied",1,"lapwing",0.360572833759292,0.217945723871771,0.532932399532989
"AE applied",1,"oystercatcher",0.154417082728958,0.0472326719549839,0.402164829852076
"AE applied",1,"redshank",0.401118261425777,0.232284020414181,0.597207552991638
"AE applied",1,"snipe",0.293111855047251,0.134092277838814,0.526129635454526
"AE.level basic",2,"black-tailed godwit",0.22562443887206,0.0846240689141119,0.478699359018741
"AE.level higher",2,"black-tailed godwit",0.582730423223427,0.309618472500807,0.813040359653071
"AE.level basic",2,"curlew",0.11273655484879,0.0259817008515658,0.37703816798956
"AE.level higher",2,"curlew",0.148655742263021,0.0226313831662122,0.568359111881752
"AE.level basic",2,"lapwing",0.197998877486123,0.0943624801768518,0.369071606794409
"AE.level higher",2,"lapwing",0.608664424270774,0.38082550472496,0.797291140449126
"AE.level basic",2,"oystercatcher",0.126254985740134,0.0287118039508415,0.413951154870834
"AE.level higher",2,"oystercatcher",0.176131166851766,0.0271634517698874,0.620760873650537
"AE.level basic",2,"redshank",0.323903674820795,0.163022366487429,0.540940923295731
"AE.level higher",2,"redshank",0.485883128470391,0.250374479370912,0.727832066695887
"AE.level basic",2,"snipe",0.204317966862359,0.0711359842702072,0.46265085509968
"AE.level higher",2,"snipe",0.412144911173001,0.172281860078476,0.702520635616567
"reserve.desig applied",3,"black-tailed godwit",0.537244186330853,0.286120372286149,0.770795442417441
"reserve.desig applied",3,"curlew",0.089944204393236,0.0153348814214708,0.385454163809609
"reserve.desig applied",3,"lapwing",0.485196570129049,0.288428446973819,0.686663545675269
"reserve.desig applied",3,"oystercatcher",0.583881373165647,0.258201409117492,0.84976929347278
"reserve.desig applied",3,"redshank",0.546741341423035,0.348829771102384,0.730903776675109
"reserve.desig applied",3,"snipe",0.441429414115864,0.233741408126289,0.671853147823072
"mowing reduced",4,"black-tailed godwit",0.381787244485025,0.181924925795121,0.631677875951172
"mowing reduced",4,"lapwing",0.223141683383431,0.0635896739217701,0.548521948182541
"mowing reduced",4,"oystercatcher",0.0971982087604056,0.0149718114104675,0.432661508058042
"mowing reduced",4,"redshank",0.164283732051069,0.0375159767159165,0.497840579825662
"mowing reduced",4,"snipe",0.238394443381248,0.0291537225933745,0.765411597936272
"grazing applied",5,"black-tailed godwit",0.247075125829986,0.067022914020284,0.599840377519397
"grazing reduced",5,"black-tailed godwit",0.301357400357241,0.0604808357077067,0.742949769663257
"grazing applied",5,"lapwing",0.375524987442226,0.173992717222986,0.631909542903753
"grazing reduced",5,"lapwing",0.340597826922143,0.0779899234203022,0.759275953618849
"grazing applied",5,"oystercatcher",0.27173877418558,0.077422744396065,0.623927759156833
"grazing reduced",5,"oystercatcher",0.199128289932204,0.0214142645723336,0.738569777282009
"grazing applied",5,"redshank",0.224299033364385,0.0763899813816434,0.502716085176159
"grazing reduced",5,"redshank",0.172380008130383,0.0193865968673446,0.686948352889046
"grazing applied",5,"snipe",0.197216137394606,0.0249898106645575,0.701909901464856
"grazing reduced",5,"snipe",0.201824341037402,0.0215743637419611,0.743564260375384
"fertpest reduced",6,"black-tailed godwit",0.778684607218114,0.255374632320891,0.973042972048854
"fertpest reduced",6,"lapwing",0.474253485081446,0.0698610063010295,0.91549637177675
"nest.protect applied",7,"black-tailed godwit",0.237793239525525,0.0831946906605927,0.517512583099381
"nest.protect applied",7,"dunlin",0.274570620814544,0.0393213663293517,0.777777514445581
"nest.protect applied",7,"lapwing",0.430433826467772,0.229169710545854,0.657650763950578
"nest.protect applied",7,"oystercatcher",0.121699558244303,0.0170775392824975,0.524954105514275
"nest.protect applied",7,"redshank",0.431449787843437,0.169552753686783,0.738255919612224
"nest.protect applied",7,"snipe",0.305775735282848,0.0355650778766506,0.840277187351212
"predator.control applied",8,"curlew",0.24341369050338,0.00386056913851557,0.963909378253991
"predator.control applied",8,"lapwing",0.167843868078181,0.00188195412789693,0.955705491843318
"water applied",9,"black-tailed godwit",0.684853226340515,0.389640509585538,0.880918366293245
"water applied",9,"lapwing",0.389124118440946,0.150013696221886,0.69688386657984
"water applied",9,"oystercatcher",0.173716618177575,0.026707154811348,0.616975085542884
"water applied",9,"redshank",0.430936327636757,0.164859952868733,0.743919146012491
