"habitat","pred","lwr","upr","mgmtvar"
"arable",0.345962390624431,0.117175659978294,0.678259033261995,"AE applied"
"mixed arable/pastoral",0.257041970220458,0.0500734931691687,0.694255970512931,"AE applied"
"mixed pastoral/unenclosed",0.0723617809661187,0.0097031666264656,0.383108569102708,"AE applied"
"pastoral",0.472877539373724,0.21781929539251,0.711281578760371,"AE applied"
"arable",0.171509780666107,0.0396546499920295,0.509287748871727,"AE.level basic"
"mixed arable/pastoral",0.283432883563952,0.0254630855548451,0.856895334912462,"AE.level basic"
"mixed pastoral/unenclosed",0.0262184024692803,0.0018088214413898,0.285736543536587,"AE.level basic"
"pastoral",0.341274679088732,0.146500769128206,0.587233336036389,"AE.level basic"
"arable",0.675592082229249,0.248795415467408,0.929052334276639,"AE.level higher"
"mixed arable/pastoral",0.196264678882845,0.0412740549799946,0.580727228242673,"AE.level higher"
"mixed pastoral/unenclosed",0.422337138029445,0.0356354649435777,0.935339254127496,"AE.level higher"
"pastoral",0.599192380493315,0.337937500220767,0.793774691440696,"AE.level higher"
"mixed pastoral/unenclosed",0.727477761433323,0.410007829229367,0.911142021350721,"reserve.desig applied"
"pastoral",0.451604637140293,0.274507870907879,0.641870405571687,"reserve.desig applied"
"unenclosed",0.460496116938581,0.20511148175992,0.738455637520831,"reserve.desig applied"
"arable",0.24411944384341,0.0441854545979796,0.679741727706197,"nest.protect applied"
"mixed arable/pastoral",0.541388689987137,0.198081297153798,0.847321855620586,"nest.protect applied"
"pastoral",0.384050264645739,0.153605930737072,0.658394019343988,"nest.protect applied"
"mixed arable/pastoral",0.169883155680165,0.0469261380806276,0.459639604522319,"water applied"
"mixed pastoral/unenclosed",0.796270490086139,0.334722456364335,0.974618468550801,"water applied"
"pastoral",0.644471075807336,0.311519783173991,0.797408296745021,"water applied"
"unenclosed",0.419388927252022,0.158185496035942,0.796972836107622,"water applied"
