"level","pred","lwr","upr","intervention"
"applied",0.158460068802932,0.0203595160977328,0.625426020897469,"mowing"
"reduced",0.281743242932377,0.074268960322867,0.652590558780256,"mowing"
"applied",0.293513127576294,0.078862348245249,0.693579160727999,"grazing"
"reduced",0.302866869412922,0.075271038404217,0.67319507105302,"grazing"
"applied",0.137012317002799,0.0158420721934934,0.599945566696172,"fertpest"
"reduced",0.439898384653928,0.131739136728596,0.795783310973813,"fertpest"
"applied",0.362769462354975,0.112836247979708,0.708225671587623,"nest.protect"
"applied",0.363486245044429,0.100227195738476,0.724903700848091,"predator.control"
"applied",0.386626512868142,0.109806317633352,0.763339637911824,"water"
"reduced",0.174044266145983,0.0252148325103564,0.633268152747136,"water"
