"mgmtvar","pred","lwr","upr"
"AE applied",0.0496183206380288,0.0290259610020683,0.0835625791920066
"AE.level basic",0.0590725563615576,0.0229474012799536,0.143703646358978
"AE.level higher",0.0161351052597013,0.00209729788863449,0.113449881692961
"reserve.desig applied",0.00577663046708363,2.38894686703382e-05,0.585590529579353
"mowing applied",0.102441080146845,0.0115341937805849,0.527486294798265
"mowing reduced",0.0474358295250591,0.00979787895918791,0.200396814267548
"grazing applied",0.129263179814436,0.0484324592146235,0.302158949703259
"grazing reduced",0.0166099292080894,0.00127325146216472,0.182857996878635
"fertpest applied",0.119343137610249,0.00498975989542375,0.78550406006371
"fertpest reduced",0.0425623729343573,0.00165251249405437,0.544190544131641
"water applied",0.00929280148354487,0.000440794362631037,0.166329603996367
"water reduced",0.17170415145067,0.012031661160849,0.779183433007456
"nest.protect applied",0.000793893159420559,1.13412312647049e-06,0.357579521017794
