"Management intervention evaluated","Estimate","SE","p-value"
"(Intercept)","-1.24","0.36","0.0005498"
"metricoccupancy"," 0.36","0.43","0.4069354"
"metricproductivity"," 2.76","0.88","0.0016880"
"(Intercept)","-1.72","0.46","0.0002137"
"AE.levelhigher"," 0.99","0.51","0.0521379"
"metricoccupancy"," 0.53","0.54","0.3294613"
"metricproductivity"," 2.36","1.38","0.0869008"
"AE.levelhigher:metricoccupancy","-0.36","0.78","0.6460461"
"AE.levelhigher:metricproductivity"," 0.38","1.61","0.8129520"
"(Intercept)","-0.39","0.56","0.4861449"
"metricoccupancy"," 0.68","0.44","0.1224557"
"(Intercept)","-2.22","0.49","0.0000046"
"metricproductivity"," 2.08","0.88","0.0183489"
"(Intercept)","-1.16","0.56","0.0388477"
"grazingreduced","-0.30","1.03","0.7739142"
"metricproductivity","-0.47","0.95","0.6200851"
"grazingreduced:metricproductivity"," 0.36","1.60","0.8228157"
"(Intercept)"," 2.19","3.31","0.5078533"
"metricproductivity"," 1.70","2.67","0.5241006"
"(Intercept)","-1.81","0.79","0.0212890"
"metricproductivity"," 1.54","0.91","0.0882693"
"(Intercept)","-3.18","1.69","0.0607027"
"metricproductivity"," 2.34","1.22","0.0541629"
"(Intercept)","-1.18","0.68","0.0821288"
"metricoccupancy"," 0.94","1.27","0.4589639"
"metricproductivity"," 0.64","0.99","0.5164834"
