"metric","pred","lwr","upr","mgmtvar"
"abundance",0.225175195980788,0.126006927244235,0.369402528045981,"AE applied"
"occupancy",0.294048603671054,0.132526577380669,0.531756950430289,"AE applied"
"productivity",0.82174056540903,0.481365373250565,0.958151202583237,"AE applied"
"abundance",0.15200465855699,0.067295549431003,0.308117769931426,"AE.level basic"
"occupancy",0.232580519514152,0.0873759789761023,0.489628845489028,"AE.level basic"
"productivity",0.654318727834112,0.118251952942355,0.963919096728004,"AE.level basic"
"abundance",0.32514371482351,0.16216327257361,0.545313977951829,"AE.level higher"
"occupancy",0.362413719593381,0.131118691338551,0.681635308247046,"AE.level higher"
"productivity",0.881533042918511,0.480801256149677,0.983550753409261,"AE.level higher"
"abundance",0.40357085278727,0.183942561312623,0.670101559081084,"reserve.desig applied"
"occupancy",0.571201547676729,0.274194025040559,0.824473792139434,"reserve.desig applied"
"abundance",0.0976303059676712,0.0401038995703353,0.21886015912906,"mowing reduced"
"productivity",0.46414590978165,0.161798274280425,0.795366521737279,"mowing reduced"
"abundance",0.239239698285115,0.0949673082764745,0.485187745213755,"grazing applied"
"productivity",0.164000790911712,0.0362465189395454,0.505744586287436,"grazing applied"
"abundance",0.189471893568064,0.037057717817132,0.586769419799502,"grazing reduced"
"productivity",0.17254673859442,0.0133536025944232,0.762630665694426,"grazing reduced"
"abundance",0.899288080347833,0.013509346222528,0.999828276059374,"fertpest reduced"
"productivity",0.980028209791714,0.0184264058904315,0.999992204010994,"fertpest reduced"
"abundance",0.140872441575955,0.0339957803754044,0.433105124806992,"nest.protect applied"
"productivity",0.434047530557817,0.233395391155278,0.658928991711085,"nest.protect applied"
"abundance",0.0400875295231864,0.00150974620732177,0.535626828554071,"predator.control applied"
"productivity",0.302349639134641,0.0162527157574774,0.919149059191062,"predator.control applied"
"abundance",0.235922901730982,0.0758543261108856,0.537362153072139,"water applied"
"occupancy",0.441571837487029,0.0628827412253266,0.903083579567823,"water applied"
"productivity",0.369685840683366,0.099814590784762,0.756236707310917,"water applied"
