"Management intervention evaluated","Estimate","SE","p-value"
"AE applied","-0.72","0.36","0.045212"
"AE.level basic","-1.26","0.42","0.002686"
"AE.level higher"," 1.03","0.40","0.010173"
"reserve.desig applied","-0.27","0.37","0.466923"
"mowing reduced","-1.75","0.40","0.000011"
"grazing applied","-1.10","0.40","0.005444"
"grazing reduced","-0.30","0.80","0.703005"
"fertpest reduced","-0.46","1.10","0.676401"
"nest.protect applied","-0.82","0.37","0.024462"
"predator.control applied","-1.43","1.10","0.193166"
"water applied","-0.98","0.50","0.049135"
