"mgmtvar","pred","lwr","upr"
"AE applied",0.311707480877935,0.189837563627902,0.466741312358471
"reserve.desig applied",0.475888543620921,0.318146374435084,0.638592880939883
"AE.level basic",0.205744104260079,0.114448458076647,0.341760435217431
"AE.level higher",0.473487883986754,0.302578834060552,0.650844096351575
"mowing applied",0.154251198753859,0.0208271002215427,0.609966948397971
"mowing reduced",0.260767126146206,0.122610504878938,0.471024470171742
"grazing applied",0.28936092511243,0.169250492123254,0.448673614891071
"grazing reduced",0.244147371394356,0.0944096567533799,0.500198721296636
"fertpest applied",0.0274038344750726,0.00015087795672202,0.840280468360481
"fertpest reduced",0.643826285243167,0.107876068475884,0.964313457521854
"water applied",0.419973254793855,0.177435552049041,0.708488218905084
"water reduced",0.126728052086193,0.0156286899100865,0.570156024253352
"nest.protect applied",0.344928831920858,0.230056754558644,0.481303527279686
"predator.control applied",0.179996693335991,0.0142389508706221,0.769358584200785
