"mgmtvar","pred","lwr","upr"
"AE applied",0.0496183206380288,0.0290259610020683,0.0835625791920066
"AE.level basic",0.0590725609603249,0.0229473959163385,0.143703696158338
"AE.level higher",0.0161351135769418,0.00209727589984019,0.113451043817303
"reserve.desig applied",0.00577663046708363,2.38894686703382e-05,0.585590529579353
"mowing applied",0.102441088611387,0.0115342909821097,0.527484215741866
"mowing reduced",0.0474358359900341,0.00979791170034855,0.200396319362577
"grazing applied",0.129263193175569,0.0484324905504714,0.302158856395101
"grazing reduced",0.0166099331349505,0.00127325543719997,0.182857601643804
"fertpest applied",0.119343135424465,0.00498974907088909,0.785504420396901
"fertpest reduced",0.0425623739554297,0.00165250625619454,0.544191494435376
"water applied",0.00929279896250395,0.000440786186493704,0.166332101257779
"water reduced",0.171704109082646,0.012031655969446,0.779183405638616
"nest.protect applied",0.000890348791541832,1.00936491190271e-06,0.440329517497419
