"AE","AE.level","reserve.desig","mowing","grazing","fertpest","nest.protect","predator.control","water","freq"
"none","none","none","none","none","none","none","none","none",2
"none","none","none","none","none","none","none","none","applied",7
"none","none","none","none","none","none","none","none","reduced",2
"none","none","none","none","none","none","none","applied","none",9
"none","none","none","none","none","none","applied","none","none",8
"none","none","none","none","none","none","applied","applied","none",1
"none","none","none","none","none","applied","none","none","none",2
"none","none","none","none","none","applied","none","none","reduced",1
"none","none","none","none","none","reduced","none","none","none",3
"none","none","none","none","none","reduced","applied","none","none",1
"none","none","none","none","applied","none","none","none","none",16
"none","none","none","none","applied","none","applied","none","none",1
"none","none","none","none","applied","applied","none","none","reduced",2
"none","none","none","none","reduced","none","none","none","none",2
"none","none","none","none","reduced","none","none","applied","applied",1
"none","none","none","applied","none","none","none","none","none",2
"none","none","none","applied","applied","none","none","none","none",2
"none","none","none","applied","applied","applied","none","none","applied",1
"none","none","none","reduced","none","none","none","none","reduced",1
"none","none","none","reduced","none","none","applied","none","none",1
"none","none","none","reduced","none","applied","none","none","reduced",1
"none","none","applied","none","none","none","none","none","none",8
"none","none","applied","reduced","none","none","none","none","none",1
"none","none","applied","reduced","none","none","none","none","reduced",1
"none","none","applied","reduced","applied","reduced","none","none","applied",1
"none","none","applied","reduced","reduced","none","none","none","applied",1
"applied","basic","none","none","none","none","none","none","none",11
"applied","basic","none","none","none","none","none","none","applied",1
"applied","basic","none","none","none","none","none","none","reduced",1
"applied","basic","none","none","none","none","applied","none","none",2
"applied","basic","none","none","none","none","applied","applied","none",1
"applied","basic","none","none","none","reduced","none","none","none",1
"applied","basic","none","reduced","none","none","none","none","none",2
"applied","basic","none","reduced","none","none","applied","none","none",1
"applied","basic","none","reduced","none","reduced","none","none","none",1
"applied","basic","applied","none","none","none","none","none","none",3
"applied","higher","none","none","none","none","none","none","none",8
"applied","higher","none","none","none","none","none","none","applied",1
"applied","higher","none","none","none","reduced","none","none","none",1
"applied","higher","none","none","applied","none","none","none","none",1
"applied","higher","none","reduced","none","none","applied","none","none",1
"applied","higher","none","reduced","none","reduced","none","none","applied",3
"applied","higher","none","reduced","reduced","none","none","none","none",1
"applied","higher","none","reduced","reduced","none","none","none","applied",1
"applied","higher","none","reduced","reduced","none","applied","none","applied",2
"applied","higher","applied","none","none","none","none","none","none",3
