"Management intervention","Parameter level","Estimate","SE","p-value","n"
"AE","(Intercept)","-1.06","0.33","0.00139","261"
"AE","new.metricabundance/occupancy change"," 0.22","0.39","0.56820","261"
"AE","new.metricproductivity"," 1.26","0.64","0.04832","261"
"AE.level","(Intercept)","-1.45","0.39","0.00018","261"
"AE.level","AE.levelhigher"," 0.66","0.45","0.14750","261"
"AE.level","new.metricabundance/occupancy change","-0.23","0.50","0.64633","261"
"AE.level","new.metricproductivity"," 1.10","1.08","0.30790","261"
"AE.level","AE.levelhigher:new.metricabundance/occupancy change"," 1.50","0.75","0.04384","261"
"AE.level","AE.levelhigher:new.metricproductivity"," 0.23","1.22","0.84845","261"
"reserve.desig","(Intercept)","-0.28","0.40","0.47727","158"
"reserve.desig","new.metricabundance/occupancy change"," 0.80","0.47","0.08778","158"
"reserve.desig","new.metricproductivity","-0.41","0.93","0.65656","158"
"mowing","(Intercept)","-1.84","1.22","0.13168"," 92"
"mowing","mowingreduced"," 0.13","1.27","0.91788"," 92"
"mowing","new.metricabundance/occupancy change"," 2.48","1.44","0.08409"," 92"
"mowing","new.metricproductivity","-1.05","1.52","0.49074"," 92"
"mowing","mowingreduced:new.metricabundance/occupancy change","-2.17","1.54","0.15805"," 92"
"mowing","mowingreduced:new.metricproductivity"," 3.05","1.63","0.06074"," 92"
"grazing","(Intercept)","-0.87","0.53","0.09903","109"
"grazing","grazingreduced","-0.41","0.91","0.65389","109"
"grazing","new.metricproductivity","-0.98","0.90","0.27594","109"
"grazing","grazingreduced:new.metricproductivity"," 1.38","1.43","0.33311","109"
"fertpest","(Intercept)"," 1.73","2.33","0.45762"," 27"
"fertpest","new.metricabundance/occupancy change","-2.56","1.74","0.14126"," 27"
"fertpest","new.metricproductivity"," 1.36","2.54","0.59343"," 27"
"water","(Intercept)","-0.21","0.74","0.77679"," 94"
"water","waterreduced","-0.96","1.58","0.54517"," 94"
"water","new.metricproductivity","-0.25","0.94","0.79265"," 94"
"water","waterreduced:new.metricproductivity","-0.87","1.91","0.64702"," 94"
"nest.protect","(Intercept)","-1.35","0.71","0.05843"," 86"
"nest.protect","new.metricabundance/occupancy change"," 0.72","0.94","0.44410"," 86"
"nest.protect","new.metricproductivity"," 1.07","0.78","0.16999"," 86"
"predator.control","(Intercept)","-1.65","1.60","0.30271"," 30"
"predator.control","new.metricproductivity"," 1.28","1.39","0.35781"," 30"
