"species","pred","lwr","upr","mgmtvar"
"black-tailed godwit",0.351843054888379,0.188759153890375,0.558776441760672,"AE applied"
"curlew",0.14147423410857,0.0566041151960305,0.311569091362068,"AE applied"
"lapwing",0.370350404512727,0.243285460647334,0.518322506384807,"AE applied"
"oystercatcher",0.134494615904463,0.04830536208522,0.322375299772191,"AE applied"
"redshank",0.459962644199508,0.298041485580811,0.630801208722838,"AE applied"
"snipe",0.316678017361159,0.174311992090519,0.504302136386398,"AE applied"
"black-tailed godwit",0.218273932136274,0.0876192763090681,0.448075198023553,"AE.level basic"
"curlew",0.124357100903067,0.0412925536045621,0.31892892704215,"AE.level basic"
"lapwing",0.200018756675837,0.106061061263829,0.345081138646394,"AE.level basic"
"oystercatcher",0.148662467419279,0.0463758301678684,0.38538118974228,"AE.level basic"
"redshank",0.378451368918503,0.214926895992506,0.575230885311572,"AE.level basic"
"snipe",0.220553547498261,0.0977249190614785,0.425038310935052,"AE.level basic"
"black-tailed godwit",0.483003139007636,0.246414564168638,0.727465181787512,"AE.level higher"
"curlew",0.141560466004566,0.0357262928461091,0.423287971754864,"AE.level higher"
"lapwing",0.5724327833082,0.388035755580472,0.738684804719324,"AE.level higher"
"oystercatcher",0.0515198142227689,0.00468843580538586,0.385129499250149,"AE.level higher"
"redshank",0.5121103440354,0.306950799005151,0.713269223456609,"AE.level higher"
"snipe",0.399427919583176,0.207436999804051,0.628256781605455,"AE.level higher"
"curlew",0.120109745578356,0.0377652181451212,0.321930810866778,"reserve.desig applied"
"lapwing",0.406244474495543,0.21378796360994,0.632560401381325,"reserve.desig applied"
"redshank",0.596511402244704,0.371385056367283,0.787208401119161,"reserve.desig applied"
"snipe",0.414290084197054,0.214874182608199,0.64640518617974,"reserve.desig applied"
"black-tailed godwit",0.217744821155788,0.102667376270548,0.403769747973665,"mowing reduced"
"curlew",0.0311361058377515,0.00259871857082118,0.283863487949109,"mowing reduced"
"lapwing",0.171326438938085,0.0681668567792551,0.368812206490547,"mowing reduced"
"oystercatcher",0.0689877040110335,0.0173403479103972,0.237314117380015,"mowing reduced"
"redshank",0.121976903478655,0.0412139906710863,0.309856075789296,"mowing reduced"
"snipe",0.15857335352678,0.0354405554373443,0.491513703540115,"mowing reduced"
"black-tailed godwit",0.157476528624337,0.0425227870020385,0.44028921636299,"grazing applied"
"lapwing",0.354198792697359,0.18947537970459,0.562707045851792,"grazing applied"
"oystercatcher",0.201220503933144,0.0640936805257174,0.480959819249532,"grazing applied"
"redshank",0.197411793213983,0.0807165268009236,0.407949484725132,"grazing applied"
"black-tailed godwit",0.23152758975272,0.0405244730759925,0.682453365971753,"grazing reduced"
"lapwing",0.273998299169663,0.0680698038415992,0.661024549580256,"grazing reduced"
"oystercatcher",0.0553594922965453,0.00317053438507526,0.519182320306355,"grazing reduced"
"redshank",0.244722896063621,0.0415624706171384,0.707689827414289,"grazing reduced"
"black-tailed godwit",0.549942642137587,0.100950201654957,0.930058543780388,"fertpest reduced"
"lapwing",0.490476250842025,0.0607986239343785,0.934701828788608,"fertpest reduced"
"oystercatcher",0.125083528704469,0.00449452723212982,0.819075549445977,"fertpest reduced"
"redshank",0.125083549514579,0.0044945327232719,0.8190754239365,"fertpest reduced"
"black-tailed godwit",0.167901594194275,0.0570890139540096,0.402084994670606,"nest.protect applied"
"lapwing",0.39926212347251,0.224412194287664,0.604214197303916,"nest.protect applied"
"oystercatcher",0.0433587646036995,0.00271749746368341,0.429836938907278,"nest.protect applied"
"redshank",0.405293685418105,0.177778710870997,0.682342615332467,"nest.protect applied"
"curlew",0.193451497877439,0.0147937471342852,0.79301109026471,"predator.control applied"
"lapwing",0.141056909204935,0.0112665926009176,0.702974849834378,"predator.control applied"
"snipe",0.00636948432724733,0.0001406350308455,0.226095324465963,"predator.control applied"
"black-tailed godwit",0.529156669998703,0.305507556099948,0.741681207536937,"water applied"
"lapwing",0.261253719544209,0.127456824637056,0.461255198683758,"water applied"
"redshank",0.302068255820309,0.131303162205114,0.553432375415837,"water applied"
"OC/CU/SN",0.024653806610705,0.00331668799962402,0.161074361249877,"water applied"
