"species","pred","lwr","upr","mgmtvar"
"black-tailed godwit",0.351843054888379,0.142748289466421,0.638937001742076,"AE applied"
"curlew",0.14147423410857,0.0387019251625647,0.402802147235487,"AE applied"
"lapwing",0.370350404512727,0.202087615263575,0.577341571613432,"AE applied"
"oystercatcher",0.134494615904463,0.0315970742879764,0.425314231121505,"AE applied"
"redshank",0.459962644199508,0.243872329906845,0.692232938891831,"AE applied"
"snipe",0.316678017361159,0.134017698546677,0.581207273616412,"AE applied"
"black-tailed godwit",0.218273932136274,0.0592697849763352,0.553061862556569,"AE.level basic"
"curlew",0.124357100903067,0.0261837095234007,0.428611869084509,"AE.level basic"
"lapwing",0.200018756675837,0.0812103425376802,0.414270322558384,"AE.level basic"
"oystercatcher",0.148662467419279,0.0285164575059407,0.509519455611903,"AE.level basic"
"redshank",0.378451368918503,0.16642762609674,0.649969886303931,"AE.level basic"
"snipe",0.220553547498261,0.0690089630019382,0.519272021371278,"AE.level basic"
"black-tailed godwit",0.483003139007636,0.17763980804863,0.80161092610198,"AE.level higher"
"curlew",0.141560466004566,0.0201312642279523,0.569635947049757,"AE.level higher"
"lapwing",0.5724327833082,0.32066341689087,0.791549745904668,"AE.level higher"
"oystercatcher",0.0515198142227689,0.0017903296744887,0.621936239741698,"AE.level higher"
"redshank",0.5121103440354,0.239544775150599,0.777659466983891,"AE.level higher"
"snipe",0.399427919583176,0.153326466594641,0.709518580991858,"AE.level higher"
"curlew",0.120109745578356,0.0234276776254876,0.437170871223157,"reserve.desig applied"
"lapwing",0.406244474495543,0.158871719262903,0.712513313082225,"reserve.desig applied"
"redshank",0.596511402244704,0.291416823649205,0.841630887588173,"reserve.desig applied"
"snipe",0.414290084197054,0.158319947322763,0.726763924602072,"reserve.desig applied"
"black-tailed godwit",0.217744821155788,0.0745336751152907,0.49033429563867,"mowing reduced"
"curlew",0.0311361058377515,0.000965087634700228,0.516697294040902,"mowing reduced"
"lapwing",0.171326438938085,0.0462873142670803,0.46828847028385,"mowing reduced"
"oystercatcher",0.0689877040110335,0.00991352578509689,0.354161562474774,"mowing reduced"
"redshank",0.121976903478655,0.0263354236513173,0.416409484956161,"mowing reduced"
"snipe",0.15857335352678,0.0189005229390577,0.648333321235563,"mowing reduced"
"black-tailed godwit",0.157476528624337,0.0245588521873068,0.581167337198262,"grazing applied"
"lapwing",0.354198792697359,0.143047335686355,0.643121956734018,"grazing applied"
"oystercatcher",0.201220503933144,0.0393335717075541,0.607825671661691,"grazing applied"
"redshank",0.197411793213983,0.0552287108793805,0.508589190312549,"grazing applied"
"black-tailed godwit",0.23152758975272,0.0190694904091846,0.823610148980196,"grazing reduced"
"lapwing",0.273998299169663,0.0367809542199882,0.788588766818103,"grazing reduced"
"oystercatcher",0.0553594922965453,0.00100539348223232,0.773373318519041,"grazing reduced"
"redshank",0.244722896063621,0.0192208474090105,0.842697250508035,"grazing reduced"
"black-tailed godwit",0.549942642137587,0.0419088044915468,0.97153839848952,"fertpest reduced"
"lapwing",0.490476250842025,0.0218065246163142,0.976507450444856,"fertpest reduced"
"oystercatcher",0.125083528704469,0.00115218910088327,0.946578740485708,"fertpest reduced"
"redshank",0.125083549514579,0.00115219098464662,0.946578676946809,"fertpest reduced"
"black-tailed godwit",0.167901594194275,0.0362720595957472,0.519643882741508,"nest.protect applied"
"lapwing",0.39926212347251,0.172422976054072,0.679499024707607,"nest.protect applied"
"oystercatcher",0.0433587646036995,0.000896957140477512,0.69588234999372,"nest.protect applied"
"redshank",0.405293685418105,0.120803299521026,0.771699691461865,"nest.protect applied"
"curlew",0.193451497877439,0.00500183047015432,0.919639762585773,"predator.control applied"
"lapwing",0.141056909204935,0.00395721576250307,0.871598972110349,"predator.control applied"
"snipe",0.00636948432724733,3.11225841586335e-05,0.569019505358982,"predator.control applied"
"black-tailed godwit",0.529156669998703,0.232967661035033,0.806144129912367,"water applied"
"lapwing",0.261253719544209,0.0933997760638494,0.548320633531228,"water applied"
"redshank",0.302068255820309,0.090713909534498,0.652492287706393,"water applied"
"OC/CU/SN",0.024653806610705,0.00149190192954186,0.2995352719299,"water applied"
